Title,Release year,Genre,Runtime(min),Rating,Votes
Didis grožis,2013,Drama,141,7.7,96138
Cavalo Dinheiro,2014,Drama,103,6.9,1923
Akvariumas,2009,Drama,123,7.3,64524
Desimt,2002,Drama,89,7.4,8505
Capturing the Friedmans,2003,"Documentary, Biography, Crime",107,7.7,26772
Sauliaus sūnus,2015,"Drama, War",107,7.4,51039
Wendy and Lucy,2008,Drama,80,7.1,19476
L'enfant,2005,"Crime, Drama, Romance",95,7.4,19288
Skafandras ir drugelis,2007,"Biography, Drama",112,8.0,109833
Pianistas,2002,"Biography, Drama, Music",150,8.5,889970
Zmogus be praeities,2002,"Comedy, Drama, Romance",97,7.6,24857
Bevardis,2002,"Action, Adventure, Drama",120,7.9,186306
"La commune (Paris, 1871)",2000,"Drama, History, War",345,8.0,1310
Balta medziaga,2009,"Drama, War",106,6.9,8310
Kung fu,2004,"Action, Comedy, Fantasy",99,7.7,148282
Žmogus ant lyno,2008,"Documentary, Biography, Crime",94,7.7,58114
Sugrižimas,2006,"Comedy, Drama",121,7.6,106333
Laiškai iš Ivo Džimos,2006,"Action, Adventure, Drama",141,7.8,168458
À ma soeur!,2001,Drama,95,6.4,12616
Weekend,2011,"Drama, Romance",97,7.6,32143
Sugrįžimas,2003,Drama,110,7.9,47039
Qian xi man bo,2001,"Drama, Romance",119,7.0,6512
Galva į sieną,2004,"Drama, Romance",121,7.9,56908
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,"Documentary, Biography",288,8.2,1405
Havras,2011,"Comedy, Drama",93,7.2,22896
Frances Ha,2012,"Comedy, Drama, Romance",86,7.4,91841
Gladiatorius,2000,"Action, Adventure, Drama",155,8.5,1582451
Code inconnu: Récit incomplet de divers voyages,2000,Drama,118,7.1,14872
Donis Darko,2001,"Drama, Mystery, Sci-Fi",113,8.0,836916
Pabusti gyvenimui,2001,"Animation, Drama, Fantasy",99,7.7,66358
Pianistė,2001,"Drama, Music",131,7.5,69900
Vaiduoklių pasaulis,2001,"Comedy, Drama",111,7.3,125411
Dirbtinis intelektas,2001,"Drama, Sci-Fi",146,7.2,319407
Stebuklingi Šihiros nuotykiai dvasių pasaulyje,2001,"Animation, Adventure, Family",125,8.6,822890
Tenenbaumų šeima,2001,"Comedy, Drama",110,7.6,309000
Žiedų valdovas. Žiedo brolija,2001,"Action, Adventure, Drama",178,8.8,1964189
Dievo miestas,2002,"Crime, Drama",130,8.6,788274
Apgirtę nuo meilės,2002,"Comedy, Drama, Romance",95,7.3,173898
Nesugrąžinamas laikas,2002,"Crime, Drama, Mystery",97,7.3,144702
Toli nuo rojaus,2002,"Drama, Romance",107,7.3,48609
Manęs čia nera,2007,"Biography, Drama, Music",135,6.8,60652
Morvern Callar,2002,Drama,97,6.7,10827
Žmogiška silpnybe,2014,"Comedy, Crime, Drama",148,6.6,109367
Babadukas,2014,"Horror, Mystery",94,6.8,242548
Éloge de l'amour,2001,Drama,97,6.2,2995
La niña santa,2004,Drama,106,6.7,4223
Meek's Cutoff,2010,"Adventure, Drama, Thriller",104,6.5,14960
Kicma,1975,"Drama, Horror",91,6.0,180
Memento,2000,"Mystery, Thriller",113,8.4,1299359
Adaptacija.,2002,"Comedy, Drama",115,7.7,200371
Žiedų valdovas. Dvi tvirtovės,2002,"Action, Adventure, Drama",179,8.8,1746802
Dramblys,2003,"Crime, Drama, Thriller",81,7.1,96037
Dogvilis,2003,"Crime, Drama",178,8.0,156335
Mistinė upė,2003,"Crime, Drama, Mystery",138,7.9,476848
Šokėja tamsoje,2000,"Crime, Drama, Musical",140,7.9,115169
Prieš bangas,1996,Drama,159,7.8,70619
Europa,1991,"Drama, Thriller",112,7.6,22845
De fem benspænd,2003,Documentary,90,7.4,9092
Manderlis,2005,Drama,139,7.2,24824
Melancholija,2011,"Drama, Sci-Fi",135,7.1,192653
Nimfomane,2013,Drama,117,6.9,129767
"Namas, kuri pastate Džekas",2018,"Crime, Drama, Horror",152,6.8,88295
Nimfomane II,2013,Drama,124,6.6,96884
Antikristas,2009,"Drama, Horror, Thriller",108,6.5,134180
Ilgos suzadetuves,2004,"Drama, Mystery, Romance",133,7.6,75479
Pasiklydusių vaikų miestas,1995,"Adventure, Drama, Fantasy",112,7.5,70973
Seul contre tous,1998,"Crime, Drama, Thriller",93,7.3,25334
Pasiklydę vertime,2003,"Comedy, Drama",102,7.7,479454
Konformistas,1970,Drama,113,7.9,33026
Dvidešimtas amžius,1976,"Drama, History",317,7.7,26909
Paskutinis tango Paryžiuje,1972,"Drama, Romance",129,6.9,57322
Prieš revoliuciją,1964,"Drama, Romance",115,6.8,2987
Po dangaus stogu,1990,"Adventure, Drama",138,6.7,13541
Nužudyti Bilą 1,2003,"Action, Crime, Thriller",111,8.2,1169656
Žiedų valdovas. Karaliaus sugrįžimas,2003,"Action, Adventure, Drama",201,9.0,1937343
Prieš saulėlydį,2004,"Drama, Romance",80,8.1,282292
Jausmų galia,2004,"Drama, Romance, Sci-Fi",108,8.3,1056464
Nerealieji,2004,"Animation, Action, Adventure",115,8.0,788811
"Mergina, verta milijono",2004,"Drama, Sport",132,8.1,712423
Žmogus grizlis,2005,"Documentary, Biography",103,7.8,60558
Paslėpta,2005,"Drama, Mystery, Thriller",117,7.3,84022
Smurto istorija,2005,"Action, Crime, Drama",96,7.4,249627
Moartea domnului Lazarescu,2005,"Comedy, Drama",153,7.8,15735
Žmoniu vaikai,2006,"Action, Drama, Sci-Fi",109,7.9,521677
Infiltruoti,2006,"Crime, Drama, Thriller",151,8.5,1395106
Zodiakas,2007,"Crime, Drama, Mystery",157,7.7,583549
"4 mėnesiai, 3 savaitės ir 2 dienos",2007,Drama,113,7.9,62732
Šioje šalyje nera vietos senukams,2007,"Crime, Drama, Thriller",122,8.2,1035432
"Džesio Džeimso nužudymas, kuri ivykde bailys Robertas Fordas",2007,"Biography, Crime, Drama",160,7.5,190516
Dans la ville de Sylvia,2007,Drama,84,6.8,2586
WALL·E. Šiukšlių princo istorija,2008,"Animation, Adventure, Family",98,8.4,1176360
Negarbingi šunsnukiai,2009,"Adventure, Drama, War",153,8.4,1544897
Baltasis kaspinas,2009,"Drama, Mystery, Thriller",144,7.8,76698
Rimtas vyrukas,2009,"Comedy, Drama",106,7.0,148106
Šaunusis ponas Lapinas,2009,"Animation, Adventure, Comedy",87,7.9,262195
Žaislų istorija 3,2010,"Animation, Adventure, Comedy",103,8.3,877600
Juodoji gulbe,2010,"Drama, Thriller",108,8.0,808150
Gyvenimo medis,2011,"Drama, Fantasy",139,6.8,182449
Menesienos karalyste,2012,"Adventure, Comedy, Drama",94,7.8,363533
Meilė,2012,Drama,127,7.9,104522
Mokytojas,2012,"Drama, History",138,7.1,183689
Groja Liuvinas Deivisas,2013,"Drama, Music",104,7.4,161106
Volstryto vilkas,2013,"Biography, Comedy, Crime",180,8.2,1535105
Vaikystė,2014,Drama,165,7.9,364287
Viešbutis 'Didysis Budapeštas',2014,"Adventure, Comedy, Crime",99,8.1,868429
Pašėlęs Maksas: įtūžio kelias,2015,"Action, Adventure, Sci-Fi",120,8.1,1060880
Išvirkščias pasaulis,2015,"Animation, Adventure, Comedy",95,8.1,765367
Kalifornijos svajos,2016,"Comedy, Drama, Music",128,8.0,644289
Nematomas siulas,2017,"Drama, History, Romance",130,7.4,142202
Prakeikta meilė,2000,"Drama, Thriller",154,8.1,250082
Hju Glaso legenda,2015,"Action, Adventure, Drama",156,8.0,853982
Žmogus-paukštis,2014,"Comedy, Drama",119,7.7,657023
21 gramas,2003,"Crime, Drama, Thriller",124,7.6,243892
Biutiful,2010,"Drama, Romance",148,7.4,93854
Babelis,2006,Drama,143,7.5,314186
Imtynininkas,2008,"Drama, Sport",109,7.9,316838
Pi,1998,"Drama, Horror, Mystery",84,7.3,184970
Versme,2006,"Drama, Mystery, Romance",97,7.2,246759
Motina!,2017,"Drama, Horror, Mystery",121,6.6,244403
Legenda apie pianistą,1998,"Drama, Music, Romance",169,8.0,68188
La migliore offerta,2013,"Crime, Drama, Mystery",131,7.8,126412
Grynas formalumas,1994,"Crime, Drama, Thriller",108,7.6,12385
Stanno tutti bene,1990,Drama,118,7.7,4295
Nepažistamoji,2006,"Drama, Mystery, Thriller",118,7.4,15881
L'uomo delle stelle,1995,"Drama, Romance",113,7.4,5409
25-a valanda,2002,Drama,135,7.6,183446
Blogas auklėjimas,2004,"Crime, Drama",106,7.4,62807
Oasiseu,2002,"Drama, Romance",133,7.8,10205
Viskas apie mano mamą,1999,"Comedy, Drama, Romance",101,7.8,101572
"Oda, kurioje gyvenu",2011,"Drama, Horror, Mystery",120,7.6,162903
Moterys ties nervų krizės riba,1988,"Comedy, Drama",88,7.5,45441
Virpantys kūnai,1997,Drama,103,7.3,33329
Šalti apkabinimai,2009,"Drama, Romance, Thriller",127,7.2,42345
Geismo įstatymas,1987,"Comedy, Drama, Thriller",102,7.1,13818
Surišk mane!,1989,"Comedy, Crime, Drama",101,7.0,31372
Atmerk akis,1997,"Drama, Mystery, Sci-Fi",119,7.7,72436
Gime myleti,2012,"Drama, Romance, War",127,7.3,17258
"Viki, Kristina, Barselona",2008,"Comedy, Drama, Romance",96,7.1,266222
Non ti muovere,2004,"Drama, Romance",125,7.0,8419
Vanilinis dangus,2001,"Fantasy, Mystery, Romance",136,6.9,281921
Per žingsnį nuo šlovės,2000,"Adventure, Comedy, Drama",122,7.9,289325
"Virėjas, vagis, jo žmona ir jos meilužis",1989,"Crime, Drama",124,7.5,40788
Selma,2014,"Biography, Drama, History",128,7.5,94492
Rosenkrantzas ir Guildensternas mirė,1990,"Comedy, Drama",117,7.3,23553
Bakha satang,1999,Drama,129,7.6,10486
Milyang,2007,Drama,142,7.5,9304
Chorok mulkogi,1997,Drama,111,7.0,1985
Guling jie shaonian sharen shijian,1991,"Crime, Drama, Romance",237,8.2,12209
Kong bu fen zi,1986,"Crime, Drama",109,7.7,5247
Taipei Story,1985,Drama,119,7.6,3700
Hai tan de yi tian,1983,Drama,166,7.6,1380
Du li shi dai,1994,"Comedy, Drama, Romance",125,7.6,1335
Čiongčingo ekspresas,1994,"Comedy, Crime, Drama",102,8.0,92468
Do lok tin si,1995,"Comedy, Crime, Drama",99,7.6,48200
Chun gwong cha sit,1997,"Drama, Romance",96,7.7,33023
Cheng zhe guang ying lu xing,2009,Documentary,90,7.7,195
Ah fei jing juen,1990,"Crime, Drama, Romance",100,7.4,24806
Ni guang fei xiang,2012,"Biography, Drama",110,7.4,1012
Chung Kuo - Cina,1972,Documentary,135,7.6,902
Le amiche,1955,"Drama, Romance",104,7.1,3333
Cronaca di un amore,1950,"Crime, Drama, Romance",98,7.1,3315
Angst essen Seele auf,1974,"Drama, Romance",92,8.0,23324
Die Ehe der Maria Braun,1979,Drama,120,7.7,14662
Die Sehnsucht der Veronika Voss,1982,Drama,104,7.7,7673
Die bitteren Tränen der Petra von Kant,1972,"Drama, Romance",124,7.6,10769
Faustrecht der Freiheit,1975,"Crime, Drama, Romance",123,7.6,6590
Mutter Küsters' Fahrt zum Himmel,1975,Drama,120,7.5,2142
Lola,1981,"Drama, Romance",115,7.4,6714
In einem Jahr mit 13 Monden,1978,Drama,124,7.4,4663
Händler der vier Jahreszeiten,1972,Drama,88,7.3,5155
Chinesisches Roulette,1976,"Drama, Thriller",86,7.2,4600
Man's Favorite Sport?,1964,"Comedy, Romance",120,7.1,5919
Hatari!,1962,"Action, Adventure, Comedy",157,7.1,14013
The Dawn Patrol,1930,"Action, Drama, War",108,7.1,2002
Air Force,1943,"Action, Drama, History",124,7.0,3754
Isdaiga,1952,"Comedy, Sci-Fi",97,6.9,15343
Šerburo lietsargiai,1964,"Drama, Musical, Romance",91,7.8,30459
Les demoiselles de Rochefort,1967,"Comedy, Drama, Musical",120,7.7,11640
Lola,1961,"Drama, Romance",90,7.5,7350
La Baie des anges,1963,"Drama, Romance",90,7.3,4123
Peau d'âne,1970,"Comedy, Fantasy, Musical",91,7.0,6166
Šešeliu armija,1969,"Drama, War",145,8.1,25358
Samurajus,1967,"Crime, Drama, Thriller",105,8.0,55555
Raudonasis ratas,1970,"Crime, Drama, Thriller",140,7.9,27523
Antrasis kvepavimas,1966,"Crime, Drama",150,7.9,6528
Le doulos,1962,"Crime, Thriller",108,7.7,11709
"Léon Morin, prêtre",1961,"Drama, Romance, War",117,7.5,5558
Le silence de la mer,1949,"Drama, Romance, War",87,7.6,5534
Daktaras Živago,1965,"Drama, Romance, War",197,7.9,80830
Hobson's Choice,1954,"Comedy, Drama, Romance",108,7.7,8554
Ryan's Daughter,1970,"Drama, Romance",200,7.4,10417
The Muppet Christmas Carol,1992,"Comedy, Drama, Family",85,7.8,66552
The Muppet Movie,1979,"Adventure, Comedy, Family",95,7.6,38421
Scrooge,1970,"Drama, Family, Fantasy",113,7.5,12034
A Christmas Carol,1938,"Drama, Family, Fantasy",69,7.5,8366
Oliver!,1968,"Drama, Family, Musical",153,7.4,40738
Little Dorrit,1987,"Drama, Romance",357,7.2,1221
Kinų kvartalas,1974,"Drama, Mystery, Thriller",130,8.2,343264
Rozmari kūdikis,1968,"Drama, Horror",137,8.0,231017
Nuomininkas,1976,"Drama, Thriller",126,7.6,46814
Pasibjaurejimas,1965,"Drama, Horror, Thriller",105,7.6,56386
Peilis vandenyje,1962,"Drama, Thriller",94,7.4,23226
Makbetas,1971,"Drama, History",140,7.4,14716
Tese,1979,"Drama, Romance",186,7.3,17890
Mirtis ir mergele,1994,"Drama, Mystery, Thriller",103,7.2,26350
Kartus mėnuo,1992,"Drama, Romance, Thriller",139,7.2,41799
Vaiduoklis,2010,"Crime, Drama, Mystery",128,7.2,169421
Bebaimiai vampyru žudikai,1967,"Comedy, Horror",108,7.0,33412
Akligatvis,1966,"Comedy, Drama, Thriller",112,7.0,13774
Gamlet,1964,Drama,140,8.2,2910
Karalius Lyras,1970,Drama,140,8.1,1650
Omkara,2006,"Action, Crime, Drama",155,8.0,21744
Maqbool,2003,"Crime, Drama, Thriller",132,8.0,11742
Campanadas a medianoche,1965,"Comedy, Drama, History",119,7.6,9930
Il bisbetico domato,1980,"Comedy, Romance",107,7.6,9330
Romeo ir Džiuljeta,1968,"Drama, Romance",138,7.6,34177
The Tragedy of Othello: The Moor of Venice,1951,"Drama, Romance",90,7.5,9303
Macbeth,1948,"Drama, History, War",107,7.4,7656
Titas,1999,"Drama, History, Thriller",162,7.1,21276
The Taming of the Shrew,1967,"Comedy, Drama, Romance",122,7.1,8508
Karaliaus kalba,2010,"Biography, Drama, History",118,8.0,701084
Morisas,1987,"Drama, Romance",140,7.6,22808
Vargdieniai,2012,"Drama, Musical, Romance",158,7.5,342000
Hovardo pabaiga,1992,"Drama, Romance",142,7.4,35168
Margaret's Museum,1995,Drama,114,7.2,1378
Galingoji Afrodite,1995,"Comedy, Fantasy, Romance",95,7.0,42258
Pokalbiai su kitomis moterimis,2005,"Comedy, Drama, Romance",84,6.9,13023
Vargdieniai,1995,"Drama, History",175,7.5,3966
Les misérables,1958,Drama,210,7.4,1729
Un singe en hiver,1962,"Comedy, Drama",105,7.4,3234
Le professionnel,1981,"Action, Crime, Drama",108,7.4,16931
Classe tous risques,1960,"Crime, Drama, Romance",110,7.5,4158
Le magnifique,1973,"Action, Comedy, Fantasy",95,7.1,6112
The White Diamond,2004,Documentary,88,7.5,4893
Nema-ye Nazdik,1990,"Biography, Crime, Drama",98,8.2,22235
Khane-ye doust kodjast?,1987,"Drama, Family",83,8.1,17687
And Life Goes on...,1992,"Adventure, Drama",95,7.9,7147
Mashgh-e Shab,1989,"Documentary, Drama",86,7.8,1821
Tresniu skonis,1997,Drama,95,7.7,35233
Per alyvmedziu giraite,1994,Drama,103,7.7,9650
Te vejas mus nunes,1999,Drama,118,7.4,11992
Mossafer,1974,Drama,83,7.5,2068
Les plages d'Agnès,2008,"Documentary, Biography",112,8.0,4613
Cléo de 5 à 7,1962,"Comedy, Drama, Music",90,7.8,26139
Veidai kaimai,2017,Documentary,94,7.8,13366
Sans toit ni loi,1985,Drama,105,7.7,13166
Zako is Nanto,1991,"Biography, Drama",118,7.7,1900
Le bonheur,1965,"Drama, Romance",80,7.6,8958
Daguerreotypes,1975,Documentary,78,7.6,1874
L'une chante l'autre pas,1977,"Drama, History",120,7.4,2395
Loin du Vietnam,1967,"Documentary, Drama, War",115,7.3,865
L'univers de Jacques Demy,1995,Documentary,90,7.4,562
Jane B. par Agnès V.,1988,"Biography, Fantasy",99,7.2,1175
Eik ir žiūrėk,1985,"Drama, Thriller, War",142,8.4,92435
Cabra Marcado Para Morrer,1984,"Documentary, History",119,8.3,1628
Harakiri,1962,"Action, Drama, Mystery",133,8.6,65534
Stop Making Sense,1984,"Documentary, Music",88,8.7,18686
Septyni samurajai,1954,"Action, Drama",207,8.6,361074
Ningen no jôken,1961,"Drama, History, War",190,8.8,7074
Shoah,1985,"Documentary, History, War",566,8.7,10173
Jogo de Cena,2007,"Documentary, Drama",100,8.4,1270
Edifício Master,2002,Documentary,110,8.3,1638
Ningen no jôken,1959,"Drama, History, War",208,8.5,9069
Ningen no jôken,1959,"Drama, History, War",181,8.5,7263
Jôi-uchi: Hairyô tsuma shimatsu,1967,Drama,128,8.3,13740
Kaidan,1964,"Drama, Fantasy, Horror",183,7.9,19486
Inochi bô ni furô,1971,"Crime, Drama",121,7.4,2034
Paris Is Burning,1990,Documentary,78,8.2,17159
Stalkeris,1979,"Drama, Sci-Fi",162,8.1,141913
Soliaris,1972,"Drama, Mystery, Sci-Fi",167,8.0,96609
Veidrodis,1975,"Biography, Drama",107,8.0,50929
Andrejus Rubliovas,1966,"Biography, Drama, History",205,8.1,56256
Nostalgija,1983,Drama,125,7.9,29386
Ivano vaikystė,1962,"Drama, War",95,8.0,39124
Aukojimas,1986,Drama,149,7.9,30420
Volas ir smuikas,1961,Drama,46,7.4,6976
Centrinė stotis,1998,Drama,110,8.0,41655
Motociklininko dienoraštis,2004,"Adventure, Biography, Drama",126,7.7,104075
Abril Despedaçado,2001,Drama,105,7.6,7333
Terra Estrangeira,1995,"Action, Crime, Drama",110,7.4,1899
"Myliu tave, Paryžiau",2006,"Comedy, Drama, Romance",120,7.2,74134
Only Yesterday,1933,"Drama, Romance",105,7.3,402
Design for Living,1933,"Comedy, Mystery, Romance",91,7.4,7538
After the Thin Man,1936,"Comedy, Crime, Mystery",112,7.6,11885
Easy Living,1937,"Comedy, Romance",88,7.5,4090
Another Thin Man,1939,"Comedy, Crime, Mystery",103,7.4,8017
Hold That Ghost,1941,"Comedy, Crime, Horror",86,7.3,4191
Holiday Inn,1942,"Comedy, Drama, Music",100,7.3,16849
For Me and My Gal,1942,"Musical, Romance, War",104,7.0,3771
Who Done It?,1942,"Comedy, Mystery",77,7.3,2652
The Clock,1945,"Comedy, Drama, Romance",90,7.3,3941
In the Good Old Summertime,1949,"Comedy, Musical, Romance",102,7.1,4207
Samson and Delilah,1949,"Drama, Family, History",134,6.8,8731
Summer Stock,1950,"Musical, Romance",108,7.1,4703
Bud Abbott and Lou Costello Meet Frankenstein,1948,"Comedy, Family, Fantasy",83,7.3,19304
The Time of Their Lives,1946,"Comedy, Fantasy, History",82,7.5,3611
Two for the Road,1967,"Comedy, Drama, Romance",111,7.4,14464
The Count of Monte Cristo,1934,"Action, Adventure, Drama",113,7.4,3156
Neapykanta,1995,"Crime, Drama",98,8.1,190538
Moteris smėlynuose,1964,"Drama, Thriller",147,8.5,21993
Tarnaitė,2016,"Drama, Romance, Thriller",145,8.1,166270
Atkirtis,2014,"Drama, Music",106,8.5,951150
Streetwise,1984,"Documentary, Drama",91,8.2,2800
Elkis teisingai,1989,"Comedy, Drama",120,8.0,110064
Like Someone in Love,2012,Drama,109,7.0,12863
P.S. Myliu tave,2007,"Comedy, Drama, Romance",126,7.0,216545
The Human Comedy,1943,"Comedy, Drama, Family",117,7.0,2386
Rudy,1993,"Biography, Drama, Sport",114,7.5,67780
Monos Lizos šypsena,2003,Drama,117,6.5,88673
Purvini karai,2013,"Documentary, Crime, History",87,7.4,9380
A Cottage on Dartmoor,1929,"Crime, Drama",88,7.5,1214
Lucky Star,1929,"Drama, Romance",100,7.7,1476
Speedy,1928,"Action, Comedy, Family",85,7.6,4168
Finis terrae,1929,Drama,80,7.3,642
Varieté,1925,"Crime, Drama, Romance",104,7.4,1368
Underground,1928,"Drama, Romance",84,7.3,589
The Epic of Everest,1924,"Documentary, Adventure, History",87,7.6,655
Oblomok imperii,1929,Drama,78,7.3,495
Beggars of Life,1928,"Adventure, Crime, Drama",84,7.4,1276
La chute de la maison Usher,1928,"Drama, Fantasy, Horror",72,7.3,4394
Visages d'enfants,1925,"Drama, Mystery, Romance",114,7.6,920
Flesh and the Devil,1926,Drama,112,7.6,4547
Girl Shy,1924,"Comedy, Romance",87,7.7,3594
The Scarlet Letter,1926,Drama,115,7.6,1910
Shooting Stars,1928,"Drama, Romance",80,7.2,465
Berlin - Die Sinfonie der Großstadt,1927,Documentary,65,7.6,4711
Chemi bebia,1929,"Comedy, Drama",80,7.6,386
Street Angel,1928,Drama,102,7.3,2518
Grass: A Nation's Battle for Life,1925,Documentary,71,7.7,1170
My Best Girl,1927,"Comedy, Romance",80,7.4,931
Lady Windermere's Fan,1925,Comedy,120,7.2,1306
Michael,1924,"Drama, Romance",93,7.1,1987
Asphalt,1929,"Crime, Drama, Romance",94,7.4,1664
Istoria mias kalpikis liras,1955,"Drama, Romance",127,8.6,3045
As perimenoun oi gynaikes!,1998,Comedy,87,7.7,2652
To klama vgike ap' ton Paradeiso,2001,"Comedy, Musical",110,7.5,3180
O vasilias,2002,Drama,130,8.1,2511
O Drakos,1956,"Crime, Drama",103,7.9,2153
Ta kokkina fanaria,1963,"Drama, Romance",132,8.1,1997
Mia zoi tin ehoume,1958,"Comedy, Drama, Romance",111,8.3,1788
I de gyni na fovitai ton andra,1965,"Comedy, Drama",105,7.8,2023
O methystakas,1950,"Comedy, Drama, Romance",105,7.4,386
Heirokrotimata,1944,"Drama, Music, Romance",78,7.5,99
O grousouzis,1952,"Comedy, Drama",108,7.4,129
Fonazei o kleftis,1965,Comedy,82,7.4,873
Seven Years Bad Luck,1921,Comedy,62,7.1,1360
The Marriage Circle,1924,Comedy,85,7.1,1450
For Heaven's Sake,1926,"Action, Comedy, Romance",58,7.5,1872
"Laugh, Clown, Laugh",1928,Drama,73,7.5,2107
Why Worry?,1923,"Adventure, Comedy, Family",63,7.3,2010
Beždžionių planeta,1968,"Adventure, Sci-Fi",112,8.0,189537
Septynios gegužės dienos,1964,"Drama, Thriller",118,7.8,16952
Requiem for a Heavyweight,1962,"Drama, Sport",95,7.8,4745
La petite Lise,1930,Drama,84,7.1,229
Westfront 1918: Vier von der Infanterie,1930,"Drama, Romance, War",75,7.4,2349
Au bonheur des dames,1930,"Drama, Romance",85,7.3,561
Morocco,1930,"Drama, Romance",92,7.0,7334
Entuziazm (Simfoniya Donbassa),1930,Documentary,67,6.8,1016
Aistros liepsna,1997,"Drama, Romance",103,7.2,4745
The Big House,1930,"Crime, Drama, Thriller",87,7.1,2507
Limite,1931,"Drama, Romance",114,7.1,2790
Marius,1931,"Comedy, Drama, Romance",130,7.8,2521
Dishonored,1931,"Drama, Romance, War",91,7.2,3055
The Last Flight,1931,Drama,76,6.9,1380
Monkey Business,1931,"Comedy, Family, Musical",77,7.4,14083
The Miracle Woman,1931,"Drama, Romance",90,7.2,2228
Der Mörder Dimitri Karamasoff,1931,Drama,93,7.5,225
Der Kongreß tanzt,1931,"Comedy, History, Musical",85,7.0,586
Waterloo Bridge,1931,"Drama, Romance",81,7.4,3126
Putyovka v zhizn,1931,"Crime, Drama",119,6.9,458
Fanny,1932,"Comedy, Drama",140,7.8,1890
Les croix de bois,1932,"Drama, War",115,7.7,1632
Broken Lullaby,1932,Drama,76,7.5,1465
Poil de carotte,1932,Drama,91,7.5,724
One Way Passage,1932,"Comedy, Drama, Romance",67,7.5,4309
Wild Boys of the Road,1933,"Adventure, Drama",68,7.5,2281
Baby Face,1933,"Drama, Romance",71,7.5,7844
Heroes for Sale,1933,"Drama, Romance, War",76,7.4,2474
Ekstase,1933,"Drama, Romance",82,6.6,2726
Counsellor at Law,1933,"Comedy, Drama",82,7.5,1475
Don Kikhot,1957,Drama,110,7.3,919
Padaras iš Juodosios lagūnos,1954,"Horror, Sci-Fi",79,6.9,33569
The Monster Squad,1987,"Action, Comedy, Fantasy",82,6.9,34810
Les misérables,1934,Drama,279,8.3,1929
Maskerade,1934,"Comedy, Romance",90,7.6,387
Le grand jeu,1934,"Drama, Romance",120,7.2,422
The Old Fashioned Way,1934,Comedy,71,7.3,1114
The Scarlet Pimpernel,1934,"Adventure, Drama",97,7.3,4671
Bright Eyes,1934,"Comedy, Drama, Family",85,7.2,2421
You're Telling Me!,1934,Comedy,66,7.4,1167
The Good Fairy,1935,"Comedy, Romance",98,7.5,1585
La kermesse héroïque,1935,"Comedy, History, Romance",110,7.4,1379
Man on the Flying Trapeze,1935,"Comedy, Crime, Mystery",66,7.5,1308
The Littlest Rebel,1935,"Comedy, Drama, Family",73,6.7,1639
Ūkų krantinė,1938,"Crime, Drama, Romance",91,7.7,9801
For Whom the Bell Tolls,1943,"Adventure, Drama, History",170,6.8,10057
Going My Way,1944,"Comedy, Drama, Music",126,7.0,13046
Anchors Aweigh,1945,"Comedy, Fantasy, Musical",140,7.0,9276
Rampos šviesa,1952,"Drama, Music, Romance",137,8.0,21746
Silver Lode,1954,"Drama, Western",81,6.8,2236
Boot Polish,1954,"Comedy, Drama, Family",149,7.9,874
"Heaven Knows, Mr. Allison",1957,"Adventure, Drama, War",107,7.3,9362
Kanalas,1957,"Drama, War",91,7.9,7900
The Young Lions,1958,"Action, Drama, War",167,7.1,8652
Arigatô-san,1936,"Comedy, Drama",76,7.3,1237
These Three,1936,"Drama, Romance",93,7.4,2968
U samogo sinego morya,1936,"Drama, Musical, Romance",71,6.9,1121
Show Boat,1936,"Comedy, Drama, Musical",113,7.4,3636
¡Vámonos con Pancho Villa!,1936,"Drama, War",92,7.7,805
The Life of Emile Zola,1937,"Biography, Drama",116,7.2,8841
"Oh, Mr. Porter!",1937,Comedy,85,7.4,1827
Angel,1937,"Comedy, Drama, Romance",91,7.2,3130
Heidi,1937,"Drama, Family, Musical",88,7.2,4845
Paštininkas,1994,"Biography, Comedy, Drama",108,7.8,38511
Partie de campagne,1946,"Short, Comedy, Drama",40,7.5,6952
César,1936,Drama,168,7.6,1615
La belle équipe,1936,Drama,100,7.5,1383
Craig's Wife,1936,Drama,73,7.2,986
Poor Little Rich Girl,1936,"Adventure, Comedy, Family",79,7.0,1568
Jag är nyfiken - En film i gult,1967,"Drama, Romance",121,6.0,4247
Jag är nyfiken - En film i blått,1968,Drama,107,6.0,1620
History Is Made at Night,1937,"Drama, Romance",97,7.3,2282
Keista drama,1937,Comedy,94,7.4,1936
Olympia 1. Teil - Fest der Völker,1938,"Documentary, Sport",121,7.7,5145
Olympia 2. Teil - Fest der Schönheit,1938,"Documentary, Sport",96,7.6,4250
Hôtel du Nord,1938,"Comedy, Drama, Romance",95,7.5,3135
The Dawn Patrol,1938,"Drama, War",103,7.5,3365
Bluebeard's Eighth Wife,1938,"Comedy, Romance",85,7.2,4428
Three Comrades,1938,"Drama, Romance",98,7.1,2041
Marie Antoinette,1938,"Biography, Drama, History",149,7.3,3229
Midnight,1939,"Comedy, Romance",94,7.8,5529
Bachelor Mother,1939,"Comedy, Romance",82,7.5,4441
La fin du jour,1939,Drama,99,7.8,1011
Didžiosios meikės simfonija,1939,"Comedy, Drama, Romance",88,7.3,6192
Jesse James,1939,Western,106,7.0,4869
On Borrowed Time,1939,"Drama, Family, Fantasy",99,7.7,2171
