Title,Release year,Genre,Runtime(min),Rating,Votes
42nd Street,1933,"Comedy, Drama, Musical",89,7.3,12832
Gold Diggers of 1933,1933,"Comedy, Drama, Musical",97,7.7,8999
Nematomas žmogus,1933,"Horror, Sci-Fi",71,7.6,39196
King Kongas,1933,"Adventure, Horror, Sci-Fi",100,7.9,89649
Mažosios moterys,1933,"Drama, Family, Romance",115,7.2,7764
The Private Life of Henry VIII,1933,Drama,97,7.0,4737
Queen Christina,1933,"Biography, Drama, Romance",99,7.5,8456
Sons of the Desert,1933,"Comedy, Family",68,7.5,9431
Zéro de conduite: Jeunes diables au collège,1933,"Short, Drama",44,7.2,9220
Atalanta,1934,"Comedy, Drama, Romance",89,7.7,17189
The Black Cat,1934,"Crime, Horror, Romance",65,6.9,12673
The Gay Divorcee,1934,"Comedy, Musical, Romance",107,7.4,8432
Shen nu,1934,Drama,85,7.7,2402
Imitation of Life,1934,"Comedy, Drama, Romance",111,7.5,5492
Tai nutiko vieną naktį,1934,"Comedy, Romance",105,8.1,110064
My Man Godfrey,1936,"Comedy, Drama, Romance",94,7.9,25950
Mr. Deeds Goes to Town,1936,"Comedy, Drama, Romance",115,7.8,22833
Modernūs laikai,1936,"Comedy, Drama, Romance",87,8.5,255045
Libeled Lady,1936,"Comedy, Romance",98,7.8,8736
Fury,1936,"Crime, Drama, Film-Noir",92,7.8,13490
Dodsworth,1936,"Drama, Romance",101,7.8,9946
Camille,1936,"Drama, Romance",109,7.3,8582
Valios triumfas,1935,"Documentary, History",114,7.1,18120
Top Hat,1935,"Comedy, Musical, Romance",101,7.7,20369
39 laipteliai,1935,"Crime, Mystery, Thriller",86,7.6,60474
A Tale of Two Cities,1935,"Drama, History, Romance",128,7.8,6173
Ruggles of Red Gap,1935,"Comedy, Mystery, Romance",90,7.6,4416
Naktis operoje,1935,"Comedy, Music, Musical",96,7.8,34303
Mutiny on the Bounty,1935,"Adventure, Biography, Drama",132,7.6,24432
Les Misérables,1935,"Drama, History, Romance",108,7.7,3854
"The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger",1935,"Adventure, Drama, Family",130,7.4,4642
Captain Blood,1935,"Action, Adventure, History",119,7.7,15436
Frankenšteino nuotaka,1935,"Drama, Horror, Sci-Fi",75,7.8,52281
Alice Adams,1935,"Comedy, Drama, Romance",99,6.9,4452
Džiūsna,1934,"Comedy, Crime, Mystery",91,7.9,31980
The Scarlet Empress,1934,"Drama, History, Romance",104,7.5,7116
Of Human Bondage,1934,"Drama, Romance",83,7.0,8100
Rembrandt,1936,"Biography, Drama",85,7.1,1961
Sabotage,1936,"Crime, Thriller",76,7.0,18334
Le roman d'un tricheur,1936,Comedy,81,7.6,2470
The Story of Louis Pasteur,1936,"Biography, Drama, History",86,7.3,3052
Swing Time,1936,"Comedy, Musical, Romance",103,7.5,14397
The Awful Truth,1937,"Comedy, Romance",90,7.7,20937
Captains Courageous,1937,"Adventure, Drama, Family",117,7.9,10660
A Day at the Races,1937,"Comedy, Family, Musical",111,7.5,14371
Dead End,1937,"Crime, Drama, Film-Noir",93,7.2,8387
The Good Earth,1937,"Drama, Romance",138,7.5,5320
Didžioji iliuzija,1937,"Drama, War",113,8.1,38389
Lost Horizon,1937,"Adventure, Drama, Fantasy",132,7.6,14197
Make Way for Tomorrow,1937,"Drama, Romance",91,8.2,9291
Marked Woman,1937,"Crime, Film-Noir, Thriller",96,7.1,4702
Maytime,1937,"Drama, Musical, Mystery",132,7.3,1168
Pépé le Moko,1937,"Crime, Drama, Romance",94,7.7,7948
The Prisoner of Zenda,1937,"Adventure, Drama, Romance",101,7.6,4964
Stage Door,1937,"Comedy, Drama, Romance",92,7.7,8897
A Star Is Born,1937,"Drama, Romance",111,7.3,10595
Stella Dallas,1937,"Drama, Romance",106,7.4,6125
Topper,1937,"Comedy, Fantasy, Romance",97,7.2,8124
Way Out West,1937,"Comedy, Family, Western",66,7.6,8863
Robino Hudo nuotykiai,1938,"Action, Adventure, Romance",102,7.9,53702
Angelai murziai,1938,"Crime, Drama, Film-Noir",97,7.9,22885
La femme du boulanger,1938,"Comedy, Drama",133,7.5,2311
Mažylio auklėjimas,1938,Comedy,102,7.8,65095
Holiday,1938,"Comedy, Romance",95,7.7,17674
Jezebel,1938,"Drama, Romance",104,7.4,14711
Dama išnyksta,1938,"Mystery, Thriller",96,7.7,56101
Pygmalion,1938,"Comedy, Drama, Romance",96,7.7,9424
You Can't Take It with You,1938,"Comedy, Drama, Romance",126,7.8,27327
Babes in Arms,1939,"Comedy, Musical",94,6.3,2814
Diena prasideda,1939,"Crime, Drama, Romance",93,7.7,8162
The Four Feathers,1939,"Adventure, Drama, Romance",129,7.4,6490
Vėjo nublokšti,1939,"Drama, Romance, War",238,8.2,329050
The Hunchback of Notre Dame,1939,"Drama, Horror, Romance",116,7.8,12052
Ponas Smitas vyksta į Vašingtoną,1939,"Comedy, Drama",129,8.1,119865
Ninočka,1939,"Comedy, Romance",110,7.8,22438
Only Angels Have Wings,1939,"Adventure, Drama, Romance",121,7.6,15337
The Roaring Twenties,1939,"Crime, Drama, Film-Noir",106,7.9,15086
Žaidimo taisyklės,1939,"Comedy, Drama",110,7.9,30808
Diližanas,1939,"Adventure, Drama, Western",96,7.8,52703
The Story of the Last Chrysanthemums,1939,"Drama, Romance",143,7.8,4279
Ozo šalies burtininkas,1939,"Adventure, Family, Fantasy",102,8.1,420817
The Women,1939,"Comedy, Drama",133,7.7,14661
Vėtrų kalnas,1939,"Drama, Romance",104,7.5,19411
Jaunasis ponas Lincolnas,1939,"Biography, Drama, History",100,7.5,9025
Abe Lincoln in Illinois,1940,"Biography, Drama, History",110,7.3,2015
"All This, and Heaven Too",1940,"Drama, Romance",141,7.4,5311
Fantazija,1940,"Animation, Family, Fantasy",124,7.7,102170
Foreign Correspondent,1940,"Action, Romance, Thriller",120,7.4,23045
Rūstybės kekės,1940,Drama,129,8.1,98468
Didysis diktatorius,1940,"Comedy, Drama, War",125,8.4,234009
The Great McGinty,1940,Comedy,82,7.3,4316
Jo merginos penktadienis,1940,"Comedy, Drama, Romance",92,7.8,62101
The Letter,1940,"Crime, Drama, Film-Noir",95,7.5,14288
The Mark of Zorro,1940,"Action, Adventure, Family",94,7.5,10786
The Mortal Storm,1940,Drama,100,7.7,5899
My Favorite Wife,1940,"Comedy, Romance",88,7.3,11304
Filadelfijos istorijos,1940,"Comedy, Romance",112,7.9,72718
Pinokis,1940,"Animation, Adventure, Comedy",88,7.5,156972
Rebeka,1940,"Drama, Film-Noir, Mystery",130,8.1,144271
The Sea Hawk,1940,"Action, Adventure, History",127,7.6,10550
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99,8.0,36924
The Thief of Bagdad,1940,"Adventure, Family, Fantasy",106,7.4,14193
Waterloo Bridge,1940,"Drama, Romance, War",108,7.7,10769
The Westerner,1940,"Drama, Western",100,7.3,6648
Pilietis Keinas,1941,"Drama, Mystery",119,8.3,459665
All That Money Can Buy,1941,"Drama, Fantasy, Romance",107,7.6,5402
Dambo,1941,"Animation, Adventure, Drama",64,7.2,139848
Here Comes Mr. Jordan,1941,"Comedy, Fantasy, Romance",94,7.6,7147
High Sierra,1940,"Action, Adventure, Drama",100,7.5,18882
Hold Back the Dawn,1941,"Drama, Romance",116,7.3,2737
How Green Was My Valley,1941,"Drama, Family",118,7.7,25938
The Lady Eve,1941,"Comedy, Romance",94,7.7,22999
Maltos sakalas,1941,"Crime, Film-Noir, Mystery",100,8.0,164710
Sutikti Džoną Dou,1941,"Comedy, Drama, Romance",135,7.6,14518
Sergeant York,1941,"Biography, Drama, History",134,7.7,19478
Salivano kelionės,1941,"Adventure, Comedy, Drama",90,7.9,28111
The Wolf Man,1941,"Horror, Mystery, Romance",70,7.2,30114
Kasablanka,1942,"Drama, Romance, War",102,8.5,596667
Prarastas savaitgalis,1945,"Drama, Film-Noir",101,7.9,39491
Gentleman Jim,1942,"Biography, Drama, Romance",104,7.6,4013
The Magnificent Ambersons,1942,"Drama, Romance",88,7.6,26254
Mrs. Miniver,1942,"Drama, Romance, War",134,7.6,19098
"Now, Voyager",1942,"Drama, Romance",117,7.9,18543
The Palm Beach Story,1942,"Comedy, Romance",88,7.5,12702
The Pride of the Yankees,1942,"Biography, Drama, Romance",128,7.6,11732
Random Harvest,1942,"Drama, Romance",126,7.9,8269
The Talk of the Town,1942,"Comedy, Drama, Romance",118,7.5,8945
This Gun for Hire,1942,"Crime, Drama, Film-Noir",81,7.4,10440
Būti ar nebūti,1942,"Comedy, Romance, War",99,8.2,41669
Woman of the Year,1942,"Comedy, Drama, Romance",114,7.1,10814
Yankee Doodle Dandy,1942,"Biography, Drama, Family",126,7.6,16666
Leave Her to Heaven,1945,"Drama, Film-Noir, Romance",110,7.6,14450
Detour,1945,"Crime, Drama, Film-Noir",66,7.3,19208
Galiorkos vaikai,1945,"Drama, Romance",189,8.3,20863
And Then There Were None,1945,"Crime, Drama, Mystery",97,7.4,16250
To Have and Have Not,1944,"Adventure, Comedy, Film-Noir",100,7.8,37461
National Velvet,1944,"Drama, Family, Sport",123,7.3,7863
"Murder, My Sweet",1944,"Crime, Drama, Film-Noir",95,7.5,14477
The Miracle of Morgan's Creek,1943,"Comedy, Romance, War",98,7.6,7869
Meet Me in St. Louis,1944,"Comedy, Drama, Family",113,7.5,26596
Lifeboat,1944,"Drama, War",97,7.6,30649
Laura,1944,"Drama, Film-Noir, Mystery",88,7.9,50304
Ivan Groznyy,1944,"Biography, Drama, History",103,7.7,10665
Hail the Conquering Hero,1944,"Comedy, War",101,7.6,5076
Gaslight,1944,"Crime, Drama, Mystery",114,7.8,32943
Dviguba kompensacija,1944,"Crime, Drama, Film-Noir",107,8.3,164846
A Canterbury Tale,1944,"Comedy, Drama, Mystery",124,7.3,6329
Arsenic and Old Lace,1944,"Comedy, Crime, Thriller",118,7.9,74116
The Song of Bernadette,1943,"Biography, Drama, Mystery",156,7.6,7500
Įtarimo šešėlis,1943,"Film-Noir, Thriller",108,7.8,69345
The Ox-Bow Incident,1943,"Drama, Western",75,8.0,24601
Apsėdimas,1943,"Crime, Drama, Romance",140,7.6,8146
The More the Merrier,1943,Comedy,104,7.6,7283
The Life and Death of Colonel Blimp,1943,"Drama, Romance, War",163,8.0,15989
Jane Eyre,1943,"Drama, Romance",97,7.5,9373
I Walked with a Zombie,1943,"Drama, Fantasy, Horror",69,7.0,13446
Heaven Can Wait,1943,"Comedy, Drama, Fantasy",112,7.4,12086
Forever and a Day,1943,"Drama, History",104,6.9,765
Mildred Pierce,1945,"Crime, Drama, Film-Noir",111,7.9,28067
The Picture of Dorian Gray,1945,"Drama, Fantasy, Horror",110,7.5,14172
Roma - atviras miestas,1945,"Drama, Thriller, War",103,8.0,28396
Spellbound,1945,"Film-Noir, Mystery, Romance",111,7.5,51323
The Spiral Staircase,1946,"Drama, Horror, Mystery",83,7.3,11038
A Tree Grows in Brooklyn,1945,"Drama, Family, Romance",129,8.0,8273
Gražuolė ir pabaisa,1946,"Drama, Fantasy, Romance",96,7.9,27733
Geriausi mūsų gyvenimo metai,1946,"Drama, Romance, War",170,8.1,69136
Brief Encounter,1945,"Drama, Romance",86,8.0,43210
Germania anno zero,1948,"Drama, History, War",78,7.8,13416
Il generale Della Rovere,1959,"Drama, War",132,7.7,3596
Paisà,1946,"Drama, War",126,7.6,9359
Europa '51,1952,Drama,118,7.4,4641
Kelionė į Italiją,1954,"Drama, Romance",85,7.3,11911
Šv. Pranciškaus žiedai,1950,"Biography, Comedy, Drama",85,7.3,3954
Stromboli (Terra di Dio),1950,Drama,107,7.2,7782
Die Nibelungen: Siegfried,1924,"Adventure, Drama, Fantasy",143,8.1,6396
The Big Heat,1953,"Crime, Film-Noir, Thriller",89,7.9,28640
Das Testament des Dr. Mabuse,1933,"Crime, Mystery, Thriller",122,7.9,13393
Die Nibelungen: Kriemhilds Rache,1924,"Adventure, Drama, Fantasy",129,7.9,4874
The Woman in the Window,1944,"Crime, Drama, Film-Noir",107,7.6,17450
Der müde Tod,1921,"Drama, Fantasy, Horror",97,7.6,6573
Spione,1928,"Romance, Thriller",150,7.5,3880
Hangmen Also Die!,1943,"Drama, Film-Noir, Thriller",134,7.4,6182
You Only Live Once,1937,"Crime, Drama, Film-Noir",86,7.2,7493
Man Hunt,1941,"Crime, Drama, Romance",105,7.2,6312
Human Desire,1954,"Drama, Film-Noir, Romance",91,7.1,6154
Clash by Night,1952,"Drama, Film-Noir, Romance",105,7.0,7217
La bête humaine,1938,"Crime, Drama",100,7.5,8298
This Land Is Mine,1943,"Drama, War",103,7.5,3603
Les bas-fonds,1936,"Crime, Drama, Romance",95,7.5,3624
The River,1951,"Drama, Romance",99,7.4,6747
French Cancan,1955,"Comedy, Drama, Musical",102,7.3,4380
Le crime de Monsieur Lange,1936,"Comedy, Crime, Drama",80,7.3,3653
Le carrosse d'or,1952,"Comedy, Drama, History",103,7.0,3321
Orphée,1950,"Drama, Fantasy, Romance",112,7.9,13190
Le sang d'un poète,1932,Fantasy,55,7.3,7234
Orfėjo testamentas,1960,"Biography, Fantasy",77,7.2,3663
Tas nuostabus gyvenimas,1946,"Drama, Family, Fantasy",130,8.6,484866
The Killers,1946,"Crime, Drama, Film-Noir",103,7.7,23177
A Matter of Life and Death,1946,"Drama, Fantasy, Romance",104,8.0,24106
Mano brangioji Klementina,1946,"Drama, Romance, Western",97,7.7,25261
Prasta šlovė,1946,"Drama, Film-Noir, Romance",102,7.9,105664
The Razor's Edge,1946,"Drama, Romance",145,7.3,6583
To Each His Own,1946,"Drama, Romance",122,7.6,2977
The Bishop's Wife,1947,"Comedy, Drama, Fantasy",109,7.6,19927
Black Narcissus,1947,Drama,101,7.7,27010
